global unique identifier	last edited date	taxonomic order	category	taxon concept id	common name	scientific name	subspecies common name	subspecies scientific name	exotic code	observation count	breeding code	breeding category	behavior code	age/sex	country	country code	state	state code	county	county code	iba code	bcr code	usfws code	atlas block	locality	locality id	locality type	latitude	longitude	observation date	time observations started	observer id	sampling event identifier	protocol type	protocol code	project code	duration minutes	effort distance km	effort area ha	number observers	all species reported	group identifier	has media	approved	reviewed	reason	trip comments	species comments	
URN:CornellLabOfOrnithology:EBIRD:OBS172408958	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-09	15:30:00	obsr229232	S12273864	Traveling	P22	EBIRD	240	4.828	NA	3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS172414852	2020-03-29 20:51:06	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-10	05:00:00	obsr229232	S12274269	Traveling	P22	EBIRD	840	6.437	NA	3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS287422252	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-01	09:00:00	obsr508506	S21055286	Traveling	P22	EBIRD	180	2	NA	4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS174506913	2022-07-07 15:31:25.196079	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Finca el Placer (acceso privado)	L630897	H	5.0356441	-75.5704321	2012-12-29	07:50:00	obsr162659	S12429890	Traveling	P22	EBIRD	80	1.76	NA	1	1		0	1	0		Ruta Cafetal		
URN:CornellLabOfOrnithology:EBIRD:OBS172149784	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-09	05:00:00	obsr229232	S12255506	Traveling	P22	EBIRD	420	6.437	NA	3	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS174776637	2023-01-04 19:10:34.834678	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Finca el Placer (acceso privado)	L630897	H	5.0356441	-75.5704321	2012-12-30	07:00:00	obsr162659	S12451690	Traveling	P22	EBIRD	90	1.287	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS627224633	2022-10-25 08:12:56.408863	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Muestreo Rio Manso	L7513010	P	5.6009519	-74.9534941	2012-12-05		obsr424749	S46267408	Historical	P62	EBIRD	NA	NA	NA	NA	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS870771926	2022-11-04 13:44:21.784373	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Bosque Popular El Prado - Manizales	L3857786	P	5.0357941	-75.4729924	2012-12-21		obsr645616	S65143338	Historical	P62	EBIRD	NA	NA	NA	NA	0		1	1	0		Historical checklist created by eBird/Macaulay Library from Internet Bird Collection media. Original IBC location name and coordinates: Manizales (5.0358, -75.4819).		
URN:CornellLabOfOrnithology:EBIRD:OBS203615809	2022-10-26 04:33:28.195073	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-20		obsr206697	S14585822	Incidental	P20	EBIRD	NA	NA	NA	NA	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS176745623	2022-10-26 06:20:04.1587	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-10	05:15:00	obsr162387	S12608951	Incidental	P20	EBIRD	NA	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS174506981	2021-12-19 19:14:10.351768	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Finca el Placer (acceso privado)	L630897	H	5.0356441	-75.5704321	2012-12-27	07:00:00	obsr162659	S12429891	Traveling	P22	EBIRD	120	1.76	NA	1	1		0	1	0		Ruta Cafetal		
URN:CornellLabOfOrnithology:EBIRD:OBS176745657	2022-10-26 04:31:13.017161	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2012-12-09	05:08:00	obsr162387	S12608952	Incidental	P20	EBIRD	NA	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS895781234	2022-10-26 04:33:59.842	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-01-22	07:00:00	obsr312461	S67290419	Traveling	P22	EBIRD	660	4	NA	5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS620729378	2022-12-12 12:57:51.576607	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Belmira	L7435959	P	5.1015848	-75.3941641	2013-01-08	06:15:00	obsr513909	S45844170	Traveling	P22	EBIRD	480	8.5	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS178103574	2019-08-08 09:33:04	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Vereda El Palmar, La Trinidad	L1899301	P	5.0513889	-75.9138889	2013-01-24	06:15:00	obsr321311	S12716328	Stationary	P21	EBIRD	240	NA	NA	2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS177778288	2015-07-20 18:46:30	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	El Socorro	L1897890	P	5.1022613	-75.8892653	2013-01-22	06:30:00	obsr321311	S12691597	Stationary	P21	EBIRD	150	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS178158923	2019-08-08 09:33:04	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Vereda El Palmar, La Trinidad	L1899301	P	5.0513889	-75.9138889	2013-01-25	06:30:00	obsr321311	S12720401	Stationary	P21	EBIRD	240	NA	NA	2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS185060738	2021-03-31 20:03:04.567787	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Pacora, Caldas	L2046876	P	5.5294444	-75.4583333	2013-02-19	06:00:00	obsr321311	S13343946	Traveling	P22	EBIRD	180	1.609	NA	NA	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS200441581	2020-03-29 20:52:25	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				20					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Manizales--Rio Blanco Reserve	L2212874	P	5.0911603	-75.4542576	2013-02-04		obsr328621	S14355078	Historical	P62	EBIRD	NA	NA	NA	7	1		0	1	0		Colombian endemics, Multicoloured Birding tour; Pablo Florez - guide; all day		
URN:CornellLabOfOrnithology:EBIRD:OBS652309286	2018-08-29 00:35:02	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				8					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Rio Blanco Reserve	L7871900	P	5.1263402	-75.4471462	2013-02-16	06:40:00	obsr194291	S48144886	Traveling	P22	EBIRD	330	1.287	NA	8	1		0	1	0		Multicolour Birding tour, with 1 leader and 7 participants. We walked up the road. Encountered a few flocks and went to 3 different antpitta feeding stations.		
URN:CornellLabOfOrnithology:EBIRD:OBS831108454	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-02-07	05:45:00	obsr431114	S61693000	Traveling	P22	EBIRD	480	11.265	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS182691171	2022-10-26 04:41:40.148553	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-02-09	06:30:00	obsr264261	S13132651	Traveling	P22	EBIRD	360	4.828	NA	8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS180743828	2022-10-26 04:34:07.393513	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				12					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Rio Blanco	L1931880	P	5.0974415	-75.451355	2013-02-07	06:00:00	obsr212715	S12942943	Traveling	P22	EBIRD	630	2	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS185059287	2021-08-19 17:23:04.939023	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Vereda El Tamboral, El Naranjal, San Jose Caldas	L2046753	P	5.0697222	-75.7913889	2013-02-05	06:00:00	obsr321311	S13343824	Stationary	P21	EBIRD	240	NA	NA	2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS651059376	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-02-15	15:35:00	obsr194291	S48054219	Traveling	P22	EBIRD	130	2.414	NA	8	1		0	1	0		We arrived at the reserve after waiting for a creek ford to become passable following a downpour. We walked up the road, returning at 5:45 pm. It's cool and tranquil here.	No details	
URN:CornellLabOfOrnithology:EBIRD:OBS185477083	2022-10-26 04:48:48.658779	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco--Lodge	L1252500	H	5.0732224	-75.4378641	2013-02-20	06:30:00	obsr30575	S13374285	Traveling	P22	EBIRD	750	4.828	NA	4	1	G1429339	0	1	0		Daniel Uribe, Peter Hawrylyshyn and Albeiro.  Photographing when possible		
URN:CornellLabOfOrnithology:EBIRD:OBS182692075	2022-10-26 04:35:34.420296	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-02-09	15:30:00	obsr264261	S13132736	Traveling	P22	EBIRD	180	3.219	NA	8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS181944545	2022-10-26 04:35:42.242862	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-02-09	06:30:00	obsr338435	S13045443	Traveling	P22	EBIRD	360	2.414	NA	7	1		0	1	0		Happy Warbler trip, leader Joe Guinta, local guide Daniel Uriba, 5 participants		
URN:CornellLabOfOrnithology:EBIRD:OBS180743611	2022-10-26 06:19:43.141846	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				12					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Rio Blanco	L1931880	P	5.0974415	-75.451355	2013-02-06	06:00:00	obsr212715	S12942926	Traveling	P22	EBIRD	720	2	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS181948187	2022-10-26 04:32:06.92656	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-02-09	15:30:00	obsr338435	S13046217	Traveling	P22	EBIRD	120	1.609	NA	5	1		0	1	0		Happy Warbler trip, Joe Guinta leader, Daniel Uriba local guide		
URN:CornellLabOfOrnithology:EBIRD:OBS182051032	2017-09-21 09:56:54	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Recinto Del Bensamantio	L1971883	P	5.1456568	-75.5200195	2013-02-10	16:20:00	obsr338435	S13075488	Traveling	P22	EBIRD	70	0.805	NA	7	1		0	1	0		Happy Warblers trip, Joe Guinta leader, Daniel Uriba local guide, 5 participants		
URN:CornellLabOfOrnithology:EBIRD:OBS182696660	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-02-11	06:45:00	obsr264261	S13133159	Traveling	P22	EBIRD	210	1.609	NA	8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS346678000	2022-10-26 04:48:48.658779	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco--Lodge	L1252500	H	5.0732224	-75.4378641	2013-02-20	06:30:00	obsr403144	S25337268	Traveling	P22	EBIRD	750	4.828	NA	4	1	G1429339	0	1	0		Daniel Uribe, Peter Hawrylyshyn and Albeiro.  Photographing when possible		
URN:CornellLabOfOrnithology:EBIRD:OBS870772297	2022-11-03 16:28:38.660017	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	La Nubia - Manizales	L10553548	P	5.0292	-75.4739	2013-02-09		obsr645616	S65143558	Historical	P62	EBIRD	NA	NA	NA	NA	0		1	1	0		Historical checklist created by eBird/Macaulay Library from Internet Bird Collection media. Original IBC location name and coordinates: Manizales (5.0298, -75.472).		
URN:CornellLabOfOrnithology:EBIRD:OBS182694279	2016-09-19 11:41:06	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	manizales recintodel pensamento	L1987808	P	5.0499067	-75.536499	2013-02-10	16:30:00	obsr264261	S13132947	Traveling	P22	EBIRD	60	0.805	NA	8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS180743417	2015-07-26 09:52:27	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				8					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Rio Blanco	L1931880	P	5.0974415	-75.451355	2013-02-05	14:00:00	obsr212715	S12942907	Traveling	P22	EBIRD	240	1	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS185046134	2021-03-31 20:03:04.567787	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				15					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	La Merced Caldas	L2044042	P	5.3961111	-75.5466667	2013-03-07	06:00:00	obsr321311	S13342838	Traveling	P22	EBIRD	180	3	NA	NA	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS185466602	2022-10-25 02:14:09.324055	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				10					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	RN Rio Blanco	L2056034	P	5.0834	-75.5001	2013-03-09	06:15:00	obsr94508	S13373642	Traveling	P22	EBIRD	300	5.633	NA	4	1	G566601	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS189913332	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-03-25	07:00:00	obsr403792	S13697768	Incidental	P20	EBIRD	NA	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS189909547	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-03-20	07:00:00	obsr403792	S13697503	Incidental	P20	EBIRD	NA	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS185383587	2022-10-25 02:03:34.729469	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				10					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	RN Rio Blanco	L2056034	P	5.0834	-75.5001	2013-03-09	06:15:00	obsr115374	S13367866	Traveling	P22	EBIRD	300	5.633	NA	4	1	G566601	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS187798629	2022-10-26 04:44:40.884274	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	El Eden	L2085623	P	5.2908333	-75.2455556	2013-03-20	06:00:00	obsr321311	S13548355	Stationary	P21	EBIRD	360	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS189911692	2022-12-12 12:44:19.313554	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-03-23	07:00:00	obsr403792	S13697665	Incidental	P20	EBIRD	NA	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS468435358	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-03-23	06:00:00	obsr853583	S34611905	Historical	P62	EBIRD	480	8.047	NA	3	1	G2274384	0	1	0		Marc, Eliana, and bird guide from Rio Blanco		
URN:CornellLabOfOrnithology:EBIRD:OBS372173307	2016-02-09 20:21:19	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Alto del Roble, Villamaría	L3857885	P	5.0120302	-75.4966736	2013-03-03	08:51:00	obsr694419	S27403443	Traveling	P22	EBIRD	300	6	NA	3	1	G1595026	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS189914165	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-03-30	07:00:00	obsr403792	S13697826	Incidental	P20	EBIRD	NA	NA	NA	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS189913653	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-03-27	07:00:00	obsr403792	S13697788	Incidental	P20	EBIRD	NA	NA	NA	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS185514722	2015-07-20 19:07:15	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Parque los Yarumos	L2057544	P	5.064075	-75.481903	2013-03-12	09:00:00	obsr94508	S13377231	Traveling	P22	EBIRD	60	1.609	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS475446303	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-03-23	06:00:00	obsr189212	S35185911	Historical	P62	EBIRD	480	8.047	NA	3	1	G2274384	0	1	0		Marc, Eliana, and bird guide from Rio Blanco		
URN:CornellLabOfOrnithology:EBIRD:OBS187574633	2021-08-05 00:09:06.510397	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				15					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Marquetalia	L2083083	P	5.2958333	-75.0347222	2013-03-11	06:00:00	obsr321311	S13531159	Stationary	P21	EBIRD	240	NA	NA	NA	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS185173366	2021-12-02 22:19:24.480628	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Finca el Placer (acceso privado)	L630897	H	5.0356441	-75.5704321	2013-03-02	06:55:00	obsr162659	S13354780	Traveling	P22	EBIRD	120	1.77	NA	1	1		0	1	0		Ruta Cafetal		
URN:CornellLabOfOrnithology:EBIRD:OBS185319040	2015-07-20 19:07:13	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Ecoparque Alcazares	L2055798	P	5.067173	-75.529335	2013-03-11	08:00:00	obsr94508	S13365263	Traveling	P22	EBIRD	120	3.219	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS337214167	2016-02-09 20:21:19	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Alto del Roble, Villamaría	L3857885	P	5.0120302	-75.4966736	2013-03-03	08:51:00	obsr645616	S24676827	Traveling	P22	EBIRD	300	6	NA	3	1	G1595026	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS189910512	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-03-22	07:00:00	obsr403792	S13697573	Incidental	P20	EBIRD	NA	NA	NA	1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1539721100	2022-10-26 04:32:59.136989	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-04-24	06:30:00	obsr25766	S120624162	Historical	P62	EBIRD	600	NA	NA	NA	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS206954878	2016-12-21 07:11:26	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Ecohotel Camino del Ruiz	L2310401	P	4.998016	-75.436935	2013-04-20	06:00:00	obsr330430	S14873251	Stationary	P21	EBIRD	90	NA	NA	1	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS188872483	2021-03-31 20:03:04.567787	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Risaralda Caldas, sector Matadero	L2097275	P	5.1722222	-75.7661111	2013-04-04	06:00:00	obsr321311	S13626503	Stationary	P21	EBIRD	180	NA	NA	NA	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS189842516	2017-08-16 12:18:28	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Manizales - Vía a Termales	L2106786	P	5.0138257	-75.4309273	2013-04-07	06:15:00	obsr403716	S13692516	Traveling	P22	EBIRD	480	8	NA	3	1	G588229	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS189914744	2020-02-03 15:37:35	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				X					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-04-01	07:00:00	obsr403792	S13697854	Incidental	P20	EBIRD	NA	NA	NA	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS191070469	2017-08-16 12:18:28	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Manizales - Vía a Termales	L2106786	P	5.0138257	-75.4309273	2013-04-07	06:15:00	obsr397020	S13775877	Traveling	P22	EBIRD	480	8	NA	3	1	G588229	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS189830048	2017-08-16 12:18:28	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Manizales - Vía a Termales	L2106786	P	5.0138257	-75.4309273	2013-04-07	06:15:00	obsr388426	S13691593	Traveling	P22	EBIRD	480	8	NA	3	1	G588229	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS233299199	2022-10-26 04:46:37.594084	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-05-04	06:00:00	obsr339411	S16862136	Traveling	P22	EBIRD	720	6	NA	3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS391202502	2022-10-26 04:36:08.631783	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Reserva Ecológica Río Blanco	L2241379	H	5.0694879	-75.4413374	2013-09-26		obsr510739	S28942825	Historical	P62	EBIRD	NA	NA	NA	NA	1		0	1	0		sin datos poblacionales		
