checklist_id,elevation_mean,elevation_sd,ed_c01_barren,pland_c01_barren,ed_c02_snow,pland_c02_snow,ed_c03_water,pland_c03_water,ed_c11_evergreen_needleleaf,pland_c11_evergreen_needleleaf,ed_c12_evergreen_broadleaf,pland_c12_evergreen_broadleaf,ed_c13_deciduous_needleleaf,pland_c13_deciduous_needleleaf,ed_c14_deciduous_broadlead,pland_c14_deciduous_broadlead,ed_c15_mixed_broadleaf_needleleaf,pland_c15_mixed_broadleaf_needleleaf,ed_c16_mixed_broadleaf_deciduous,pland_c16_mixed_broadleaf_deciduous,ed_c21_open_forests,pland_c21_open_forests,ed_c22_sparse_forests,pland_c22_sparse_forests,ed_c31_dense_herbaceous,pland_c31_dense_herbaceous,ed_c32_sparse_herbaceous,pland_c32_sparse_herbaceous,ed_c41_dense_shrublands,pland_c41_dense_shrublands,ed_c42_shrubland_grassland,pland_c42_shrubland_grassland,ed_c43_sparse_shrublands,pland_c43_sparse_shrublands,ed_c255_unclassified,pland_c255_unclassified
S63442515,957.26055908203125,76.90552520751953,0,0,0,0,0,0,0,0,1.8768429753206473,2.1739130434782608,0,0,0,0,0,0,0,0,2.815264462980971,95.65217391304347,0.9384214876603236,2.1739130434782608,0,0,0,0,0,0,0,0,0,0,0,0
S62967986,1784.4913330078125,85.28172302246094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1613181821317555,78.26086956521739,5.1613181821317555,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0
S64532423,1803.0294189453125,164.57492065429688,0,0,0,0,0,0,0,0,7.194564738729122,24.444444444444443,0,0,0,0,0,0,0,0,7.194564738729122,75.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S101156697,174.42735290527344,6.086442947387695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9592752984972196,2.222222222222222,7.19456473872907,86.66666666666666,6.23528944023185,11.11111111111111,0,0,0,0,0,0,0,0,0,0
S62939007,2194.87451171875,62.158443450927734,0,0,0,0,0,0,0,0,4.856331198641688,14.999999999999996,0,0,0,0,0,0,0,0,9.173070041878763,57.49999999999999,4.316738843237076,27.499999999999996,0,0,0,0,0,0,0,0,0,0,0,0
S64679695,1878.236572265625,105.67809295654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.507371901282488,78.26086956521739,7.507371901282488,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0
S83920621,1878.236572265625,105.67809295654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.507371901282488,78.26086956521739,7.507371901282488,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0
S66237466,1878.236572265625,105.67809295654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.507371901282488,78.26086956521739,7.507371901282488,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0
S63828030,1878.236572265625,105.67809295654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.507371901282488,78.26086956521739,7.507371901282488,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0
S82589136,1878.236572265625,105.67809295654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.507371901282488,78.26086956521739,7.507371901282488,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0
S64729987,1878.236572265625,105.67809295654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.507371901282488,78.26086956521739,7.507371901282488,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0
S64729927,1878.236572265625,105.67809295654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.507371901282488,78.26086956521739,7.507371901282488,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0
S64754986,1878.236572265625,105.67809295654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.507371901282488,78.26086956521739,7.507371901282488,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0
S66236051,1878.236572265625,105.67809295654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.507371901282488,78.26086956521739,7.507371901282488,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0
S66237340,1878.236572265625,105.67809295654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.507371901282488,78.26086956521739,7.507371901282488,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0
