"id"	"scientificName"	"decimalLongitude"	"decimalLatitude"	"year"	"month"	"day"	"datasetName"	"basisOfRecord"	"created_by"
3070384898	"Glyptemys insculpta"	-69.685044	44.184984	2021	3	21	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3070456504	"Glyptemys insculpta"	-69.736914	44.04956	2021	3	21	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3070607514	"Glyptemys insculpta"	-69.645575	44.015899	2021	3	21	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3109333443	"Glyptemys insculpta"	-77.842317	40.706198	2021	3	23	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3079587052	"Glyptemys insculpta"	-84.438441	45.205377	2021	4	7	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3079626622	"Glyptemys insculpta"	-72.574614	41.574571	2021	4	4	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3079787054	"Glyptemys insculpta"	-77.803303	40.524296	2021	4	7	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3090612177	"Glyptemys insculpta"	-84.955053	43.995014	2021	4	6	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3090652729	"Glyptemys insculpta"	-84.914579	43.930634	2021	4	13	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3090678539	"Glyptemys insculpta"	-83.914987	45.158021	2021	4	8	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3090764059	"Glyptemys insculpta"	-72.917515	42.294042	2021	4	9	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3090788277	"Glyptemys insculpta"	-75.527926	40.418193	2021	4	10	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3090927744	"Glyptemys insculpta"	-72.280761	43.777144	2021	4	13	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3097012234	"Glyptemys insculpta"	-78.390643	39.190455	2021	4	19	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3097307985	"Glyptemys insculpta"	-78.559588	39.104834	2021	4	18	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3097400606	"Glyptemys insculpta"	-78.862206	40.383658	2021	4	22	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
3108987781	"Glyptemys insculpta"	-76.201701	46.270226	2021	4	24	"iNaturalist research-grade observations"	"HUMAN_OBSERVATION"	"GBIF"
